text,tokoh,date
Mentri yg pintar ngomong tp blm tau kerjanya,Purbaya Yudhi Sadewa,2025-12-04T22:12:30Z
Sombong banget nih bocah,Purbaya Yudhi Sadewa,2025-12-04T20:52:07Z
Ibu sri m semoga cepat sadar dan kembalikan duit rakyat !,Purbaya Yudhi Sadewa,2025-12-04T14:59:20Z
"Saya org m'sia, salute pada pak purbaya kerja kerjenya  pasti, , ngomongnya cukup santai , ada ngomongnya sambil berlawak, Dan berkias dlm ucapan yg senang di fahami",Purbaya Yudhi Sadewa,2025-12-04T14:57:07Z
Mulyani Lintah Darat yg suka cekik rakyat dgn pajak2 tp aku yaqin di suruh mulyono,Purbaya Yudhi Sadewa,2025-12-04T14:49:41Z
Sudah kuduga...berarti ada agenda j@hat untuk menjatuhkan Bapak Prab0wo kala itu...,Purbaya Yudhi Sadewa,2025-12-04T14:44:17Z
Inilah pak porbaya bapak Mentri yg hebat mudah mudahan dengan adanya bapak menteri keuangan yg ini ekonomi Indonesia jadi baik' dan makmur,Purbaya Yudhi Sadewa,2025-12-04T14:07:18Z
Sombong tapi gw suka,Purbaya Yudhi Sadewa,2025-12-04T13:57:51Z
Menko setingkat abunawas,Purbaya Yudhi Sadewa,2025-12-04T13:42:29Z
Purboyo mana mungkin bisa buat QRIS spt SMI?,Purbaya Yudhi Sadewa,2025-12-04T13:25:35Z
Namanya juga agen asing IMF pak😂😂,Purbaya Yudhi Sadewa,2025-12-04T13:20:01Z
"Dan skrg orang tua gak pada mau belanja Pak. Bener"" skrg semua orang merasakan dampak dari MBG Pak.kasihan pengusaha kecil pada  gak laku Pak.",Purbaya Yudhi Sadewa,2025-12-04T13:18:20Z
Assalamualaikum.Pak mohon dengarkan suara rakyat.semenjak ada MBG .semua pedagang dan usaha pada mengeluh sepi.gak ada yg beli .Bagaimana Pak kalau MBG . Di tiadakan mending di transfer ke orang tua saja.karna orang tua lebih mengerti apa yg makanan kesuka'an anaknya Pak.,Purbaya Yudhi Sadewa,2025-12-04T13:14:59Z
Ekonomi..memble,Purbaya Yudhi Sadewa,2025-12-04T12:12:07Z
Sekarang aja dampak masih pak sepi .....dagang makin sepi,Purbaya Yudhi Sadewa,2025-12-04T12:11:48Z
Yg dikatakan itu betul krn rakyat yg rasakan padahal mentri sebelum nya itu katanya ini itu pengalamannya padahal hasilnya tdk ada yg ada dia lindungi yg waow aja rakyat cuma diperas 😂😂❤,Purbaya Yudhi Sadewa,2025-12-04T12:11:28Z
Harusnya si SRI itu dijebloskan penjara....,Purbaya Yudhi Sadewa,2025-12-04T11:08:53Z
IHSG 8rb berkat kebijakan Pak Purbaya! Thank you Pak!!! 🎉🎉🎉🎉,Purbaya Yudhi Sadewa,2025-12-04T10:56:26Z
😂 sogokannya setorannya kuat makanya lancar,Purbaya Yudhi Sadewa,2025-12-04T10:27:27Z
Mentri keuangan kita memberikan optimis pada semua orang dan sangat cerdas ini baru ahli ekonomi,Purbaya Yudhi Sadewa,2025-12-04T10:21:02Z
Mang ngglelenge Bapak Menkeu kita inih. Love banget❤❤❤,Purbaya Yudhi Sadewa,2025-12-04T09:31:33Z
Turunkan suku bunga yang mencekik kami rakyat,Purbaya Yudhi Sadewa,2025-12-04T09:19:45Z
Apa yang dikatakan Almarhum Rizal Ramli Sri Mulyani itu bukan Menteri Keuangan Terbaik yang tepatnya Menteri Keuangan Terbalik sedunia.,Purbaya Yudhi Sadewa,2025-12-04T08:36:27Z
"Kalau mau sindir Mulyani, ya jangan dihapus NOL-nya yang di uang Rupiah kita. Menghapus NOL-nya dari Rupiah = menutupi / melupakan kesalahannya Mulyani.",Purbaya Yudhi Sadewa,2025-12-04T08:15:14Z
Mentri yg dulu mudah di arahkan oleh presidennya,Purbaya Yudhi Sadewa,2025-12-04T07:58:54Z
Sdh pasti salah kebijakannya... Mknya rakyat Indonesia tetep miskin..,Purbaya Yudhi Sadewa,2025-12-04T07:55:54Z
Di tinjauan dr ilmu ekonomi makro dasar Adam Smith. Kebijakan ekonomi keliru banget,Purbaya Yudhi Sadewa,2025-12-04T07:55:46Z
"Pak Pur, itu majalah Times juga majalah peliharaan George Soros, suka ngejelekin bapak. Bodoh itu Times 🤣🤣",Purbaya Yudhi Sadewa,2025-12-04T07:51:19Z
Siapa dulu yang ngidolain Sri Mulyani?? Nyesel kan loe. Untung gw ga pernah 🤣,Purbaya Yudhi Sadewa,2025-12-04T07:42:56Z
Pemimpin itu laki2,Purbaya Yudhi Sadewa,2025-12-04T07:29:28Z
"KALO BISA JANGAN ""HINA"" PENDAHULUNYA YA PAK, BIAR GAK TERKESAN SOMBONG/AROGAN...sebaiknya TERANGKAN AJA LANGKAH2 ANDA...dan coba bersikap RENDAH HATI...dan ber-HATI BESAR seperti Bu Sri dan Pak Jokowi...ok ?!",Purbaya Yudhi Sadewa,2025-12-04T07:23:31Z
"PINTER OMONG sampeyan Pak, kita tunggu BUAH KERJA nya ya !!!",Purbaya Yudhi Sadewa,2025-12-04T07:18:41Z
Pak purbaya bongkar semua  kebodohan menteri keuangan seperti srimulyani,Purbaya Yudhi Sadewa,2025-12-04T07:07:34Z
Menteri keuangan srymuliani harus segera diperiksa.  Uang masuk keluar dia tau semua.,Purbaya Yudhi Sadewa,2025-12-04T07:00:29Z
Menurutku pejabat sebaiknya bekerja secara kolektifitas.... Krn kabinet itu adalah satu team. Tidak pengin menjadi superior diantara tim itu,Purbaya Yudhi Sadewa,2025-12-04T06:45:54Z
Mulyani malu dong? Buatan joko dok,Purbaya Yudhi Sadewa,2025-12-04T06:31:58Z
"apa kita harus terima kasih sama mereka yg ""bertamu"" ke rumah mbak mul di malam hari bulan agustus?",Purbaya Yudhi Sadewa,2025-12-04T06:29:22Z
Mantaaaaf humoris  ceplas ceplos nya berani krn kebenaran fakta nya nampak nya seperti lugu lurus  mengaku sbg Abunawas  versi Indonesia😂😂😂  gaya nya  memang kocak ... tapi  kerja serius dgn kecerdikan nya yg lucu... yaa gaya Abunawas..😂😂😂😂,Purbaya Yudhi Sadewa,2025-12-04T06:27:49Z
Gayanya sombong tapi mmg udah bekerja sangat baik bahkan menteri terbaik....ga ada lawan ni org...lanjutkan,Purbaya Yudhi Sadewa,2025-12-04T06:25:53Z
Ada purbaya ini jadi semangat nonton politik lagi kayak jaman ahok munculnawal2,Purbaya Yudhi Sadewa,2025-12-04T06:19:28Z
❤🇮🇩🤲🏻🇮🇩🤲🏻👍🏻👍🏻👍🏻,Purbaya Yudhi Sadewa,2025-12-04T06:13:57Z
"Korupsi merajalela, ekonomi rakyat dicekik, hukum dipermainkan.
Ayoo segenap rakyat bergerak semua.
Revolusi Nasional Rakyat Berdaulat.

KAPAN RAKYAT INDONESIA TURUN JALAN DEMO.. BERSATU YOK KITA GERAKKAN..KALO CUMA BERKOAR TERUS DI SOSMED.. MEREKA TIDAK AKAN RESPON.. PURA PURA BUDEK",Purbaya Yudhi Sadewa,2025-12-04T05:31:42Z
Semoga Pak Purbaya Selalu dalam Lindungan Alloh SWT 💚,Purbaya Yudhi Sadewa,2025-12-04T05:30:54Z
Mata Kuliah Gratis...,Purbaya Yudhi Sadewa,2025-12-04T05:13:25Z
Baru sadar ternyata pak Purbaya ini mirip sama Sumitro bapaknya Prabowo jago ekonomi dan berani banget ambil keputusan tanpa takut sama sekali,Purbaya Yudhi Sadewa,2025-12-04T04:44:53Z
Dengar BKN k dengar Prexiden menkeu,Purbaya Yudhi Sadewa,2025-12-04T04:01:03Z
"ini mentri yg.humoris,jujur,bijak ,tegas,,bnr2 ihlas bekerja untk negara dan bangsa hususnya bekerja untk rakyt,,semua rakyt sangt2 mendukungnya dgn semua kebijakan2 Bpk mentri,,❤❤❤",Purbaya Yudhi Sadewa,2025-12-04T03:48:00Z
